brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_encoded,state_encoded
108015.0,for_sale,299413.0,3.0,2.0,0.34,1131603.0,Westfield,Massachusetts,1085.0,1424.0,2021-11-10,43,2
58796.0,for_sale,389999.0,6.0,3.0,0.14,1759813.0,West Springfield,Massachusetts,1089.0,2673.0,2006-11-28,21,2
33714.0,for_sale,349900.0,3.0,2.0,0.34,821162.0,Westfield,Massachusetts,1085.0,1536.0,2018-03-30,43,2
107958.0,for_sale,349900.0,4.0,2.0,1.03,578063.0,East Longmeadow,Massachusetts,1028.0,1638.0,2009-08-28,46,2
11863.0,for_sale,129000.0,1.0,1.0,0.09,107725.0,East Longmeadow,Massachusetts,1028.0,793.0,2001-08-10,46,2
21163.0,for_sale,674444.0,4.0,5.0,0.26,1296836.0,East Longmeadow,Massachusetts,1028.0,4122.0,2003-01-24,46,2
108015.0,for_sale,249900.0,3.0,2.0,0.23,652480.0,East Longmeadow,Massachusetts,1028.0,1259.0,2019-05-10,46,2
22637.0,for_sale,279000.0,2.0,1.0,0.38,331847.0,East Longmeadow,Massachusetts,1028.0,988.0,2005-04-28,46,2
19604.0,for_sale,259000.0,3.0,1.0,0.8,201394.0,East Longmeadow,Massachusetts,1028.0,1196.0,2019-10-24,46,2
70825.0,for_sale,399000.0,4.0,3.0,0.28,654499.0,East Longmeadow,Massachusetts,1028.0,2500.0,2019-06-21,46,2
8147.0,for_sale,739900.0,4.0,4.0,0.97,1761960.0,East Longmeadow,Massachusetts,1028.0,3000.0,2006-09-28,46,2
56729.0,for_sale,299000.0,2.0,2.0,0.46,433322.0,East Longmeadow,Massachusetts,1028.0,1174.0,2001-12-17,46,2
55379.0,for_sale,304900.0,4.0,1.0,0.22,561024.0,East Longmeadow,Massachusetts,1028.0,1425.0,2013-03-26,46,2
97400.0,for_sale,409900.0,2.0,1.0,0.57,1686060.0,East Longmeadow,Massachusetts,1028.0,1020.0,2001-08-20,46,2
107958.0,for_sale,589900.0,4.0,3.0,0.61,1353793.0,Agawam,Massachusetts,1030.0,2857.0,2006-07-31,2,2
67832.0,for_sale,300000.0,3.0,1.0,0.28,1405171.0,Agawam,Massachusetts,1030.0,1260.0,2006-09-15,2,2
80325.0,for_sale,439900.0,5.0,4.0,0.53,732252.0,Agawam,Massachusetts,1030.0,2094.0,1996-07-31,2,2
53226.0,for_sale,269900.0,3.0,1.0,1.41,729798.0,Hardwick,Massachusetts,1031.0,1092.0,1989-12-08,47,2
4563.0,for_sale,399900.0,9.0,6.0,0.19,1732795.0,Adams,Massachusetts,1220.0,5364.0,1998-06-25,48,2
37594.0,for_sale,159900.0,2.0,2.0,0.28,436894.0,Adams,Massachusetts,1220.0,1206.0,2011-10-28,48,2
37594.0,for_sale,324900.0,13.0,7.0,0.2,329963.0,Adams,Massachusetts,1220.0,4233.0,2008-09-15,48,2
101392.0,for_sale,349900.0,3.0,3.0,1.4,296099.0,Buckland,Massachusetts,1339.0,2234.0,2005-07-29,49,2
55379.0,for_sale,150000.0,3.0,1.0,0.09,1033319.0,Springfield,Massachusetts,1104.0,1303.0,1998-08-27,24,2
44941.0,for_sale,199900.0,9.0,3.0,0.13,331092.0,Springfield,Massachusetts,1104.0,3511.0,2005-06-02,24,2
107912.0,for_sale,2995000.0,4.0,8.0,12.1,544847.0,Worthington,Massachusetts,1098.0,14240.0,2001-10-05,50,2
737.0,for_sale,144000.0,1.0,1.0,5.46,1498445.0,Cummington,Massachusetts,1026.0,600.0,2021-05-05,40,2
86588.0,for_sale,139900.0,3.0,1.0,0.17,11380.0,Pittsfield,Massachusetts,1201.0,1180.0,2005-12-06,51,2
10198.0,for_sale,209000.0,3.0,2.0,0.16,1089046.0,Pittsfield,Massachusetts,1201.0,1352.0,2001-11-21,51,2
10856.0,for_sale,231500.0,3.0,1.0,0.31,1120987.0,Pittsfield,Massachusetts,1201.0,1152.0,2000-06-28,51,2
65658.0,for_sale,324900.0,3.0,2.0,0.5,1369420.0,Cheshire,Massachusetts,1225.0,1756.0,1993-09-14,52,2
22188.0,for_sale,380000.0,4.0,2.0,17.84,259387.0,Huntington,Massachusetts,1050.0,2196.0,2014-09-08,53,2
